BER,n,k,t,Average Bit Errors
1e-06,7,4,1,33.072
1e-06,15,11,1,32.836
1e-06,15,7,2,37.33
1e-06,15,5,3,31.414
1e-06,31,26,1,53.988
1e-06,31,11,4,32.262
1e-06,63,57,1,67.4
1e-06,63,39,5,64.132
1e-06,127,120,1,63.424
1e-06,127,50,6,55.888
1.6237767391887209e-06,7,4,1,33.174
1.6237767391887209e-06,15,11,1,32.812
1.6237767391887209e-06,15,7,2,37.256
1.6237767391887209e-06,15,5,3,31.37
1.6237767391887209e-06,31,26,1,53.932
1.6237767391887209e-06,31,11,4,32.146
1.6237767391887209e-06,63,57,1,68.296
1.6237767391887209e-06,63,39,5,64.01
1.6237767391887209e-06,127,120,1,63.258
1.6237767391887209e-06,127,50,6,56.68
2.6366508987303555e-06,7,4,1,33.2
2.6366508987303555e-06,15,11,1,32.592
2.6366508987303555e-06,15,7,2,37.464
2.6366508987303555e-06,15,5,3,31.364
2.6366508987303555e-06,31,26,1,54.026
2.6366508987303555e-06,31,11,4,32.002
2.6366508987303555e-06,63,57,1,67.252
2.6366508987303555e-06,63,39,5,63.894
2.6366508987303555e-06,127,120,1,63.444
2.6366508987303555e-06,127,50,6,56.062
4.281332398719396e-06,7,4,1,33.216
4.281332398719396e-06,15,11,1,32.748
4.281332398719396e-06,15,7,2,37.208
4.281332398719396e-06,15,5,3,31.426
4.281332398719396e-06,31,26,1,54.078
4.281332398719396e-06,31,11,4,31.966
4.281332398719396e-06,63,57,1,67.838
4.281332398719396e-06,63,39,5,64.328
4.281332398719396e-06,127,120,1,63.496
4.281332398719396e-06,127,50,6,56.824
6.951927961775606e-06,7,4,1,33.104
6.951927961775606e-06,15,11,1,32.92
6.951927961775606e-06,15,7,2,37.444
6.951927961775606e-06,15,5,3,31.2
6.951927961775606e-06,31,26,1,53.84
6.951927961775606e-06,31,11,4,32.146
6.951927961775606e-06,63,57,1,68.122
6.951927961775606e-06,63,39,5,64.128
6.951927961775606e-06,127,120,1,63.232
6.951927961775606e-06,127,50,6,56.778
1.1288378916846883e-05,7,4,1,33.144
1.1288378916846883e-05,15,11,1,32.564
1.1288378916846883e-05,15,7,2,37.182
1.1288378916846883e-05,15,5,3,31.33
1.1288378916846883e-05,31,26,1,53.962
1.1288378916846883e-05,31,11,4,32.146
1.1288378916846883e-05,63,57,1,67.81
1.1288378916846883e-05,63,39,5,64.468
1.1288378916846883e-05,127,120,1,63.24
1.1288378916846883e-05,127,50,6,56.822
1.8329807108324375e-05,7,4,1,33.058
1.8329807108324375e-05,15,11,1,32.408
1.8329807108324375e-05,15,7,2,37.446
1.8329807108324375e-05,15,5,3,31.522
1.8329807108324375e-05,31,26,1,53.88
1.8329807108324375e-05,31,11,4,31.854
1.8329807108324375e-05,63,57,1,67.788
1.8329807108324375e-05,63,39,5,63.856
1.8329807108324375e-05,127,120,1,63.232
1.8329807108324375e-05,127,50,6,56.356
2.9763514416313192e-05,7,4,1,33.07
2.9763514416313192e-05,15,11,1,32.508
2.9763514416313192e-05,15,7,2,37.46
2.9763514416313192e-05,15,5,3,31.414
2.9763514416313192e-05,31,26,1,53.71
2.9763514416313192e-05,31,11,4,32.168
2.9763514416313192e-05,63,57,1,68.116
2.9763514416313192e-05,63,39,5,64.018
2.9763514416313192e-05,127,120,1,63.194
2.9763514416313192e-05,127,50,6,56.444
4.8329302385717524e-05,7,4,1,33.062
4.8329302385717524e-05,15,11,1,32.374
4.8329302385717524e-05,15,7,2,37.244
4.8329302385717524e-05,15,5,3,31.318
4.8329302385717524e-05,31,26,1,54.098
4.8329302385717524e-05,31,11,4,31.892
4.8329302385717524e-05,63,57,1,67.69
4.8329302385717524e-05,63,39,5,63.552
4.8329302385717524e-05,127,120,1,63.414
4.8329302385717524e-05,127,50,6,56.474
7.847599703514606e-05,7,4,1,33.268
7.847599703514606e-05,15,11,1,32.634
7.847599703514606e-05,15,7,2,37.326
7.847599703514606e-05,15,5,3,31.324
7.847599703514606e-05,31,26,1,54.146
7.847599703514606e-05,31,11,4,31.828
7.847599703514606e-05,63,57,1,67.66
7.847599703514606e-05,63,39,5,64.54
7.847599703514606e-05,127,120,1,63.238
7.847599703514606e-05,127,50,6,56.306
0.00012742749857031334,7,4,1,32.966
0.00012742749857031334,15,11,1,32.45
0.00012742749857031334,15,7,2,37.516
0.00012742749857031334,15,5,3,31.316
0.00012742749857031334,31,26,1,53.932
0.00012742749857031334,31,11,4,32.198
0.00012742749857031334,63,57,1,67.514
0.00012742749857031334,63,39,5,64.328
0.00012742749857031334,127,120,1,63.432
0.00012742749857031334,127,50,6,56.37
0.00020691380811147902,7,4,1,33.142
0.00020691380811147902,15,11,1,32.592
0.00020691380811147902,15,7,2,37.4
0.00020691380811147902,15,5,3,31.506
0.00020691380811147902,31,26,1,53.802
0.00020691380811147902,31,11,4,32.048
0.00020691380811147902,63,57,1,67.786
0.00020691380811147902,63,39,5,64.094
0.00020691380811147902,127,120,1,63.372
0.00020691380811147902,127,50,6,56.104
0.0003359818286283781,7,4,1,33.198
0.0003359818286283781,15,11,1,32.472
0.0003359818286283781,15,7,2,37.236
0.0003359818286283781,15,5,3,31.128
0.0003359818286283781,31,26,1,53.7
0.0003359818286283781,31,11,4,31.98
0.0003359818286283781,63,57,1,67.666
0.0003359818286283781,63,39,5,63.99
0.0003359818286283781,127,120,1,63.328
0.0003359818286283781,127,50,6,56.294
0.0005455594781168515,7,4,1,33.132
0.0005455594781168515,15,11,1,32.606
0.0005455594781168515,15,7,2,37.328
0.0005455594781168515,15,5,3,31.476
0.0005455594781168515,31,26,1,54.164
0.0005455594781168515,31,11,4,32.21
0.0005455594781168515,63,57,1,67.828
0.0005455594781168515,63,39,5,63.818
0.0005455594781168515,127,120,1,63.462
0.0005455594781168515,127,50,6,56.226
0.0008858667904100823,7,4,1,33.172
0.0008858667904100823,15,11,1,32.708
0.0008858667904100823,15,7,2,37.56
0.0008858667904100823,15,5,3,31.402
0.0008858667904100823,31,26,1,53.826
0.0008858667904100823,31,11,4,32.43
0.0008858667904100823,63,57,1,68.014
0.0008858667904100823,63,39,5,63.588
0.0008858667904100823,127,120,1,63.23
0.0008858667904100823,127,50,6,56.362
0.0014384498882876629,7,4,1,32.946
0.0014384498882876629,15,11,1,32.446
0.0014384498882876629,15,7,2,37.514
0.0014384498882876629,15,5,3,31.572
0.0014384498882876629,31,26,1,53.928
0.0014384498882876629,31,11,4,31.946
0.0014384498882876629,63,57,1,67.602
0.0014384498882876629,63,39,5,64.458
0.0014384498882876629,127,120,1,63.138
0.0014384498882876629,127,50,6,56.608
0.002335721469090121,7,4,1,33.132
0.002335721469090121,15,11,1,32.008
0.002335721469090121,15,7,2,37.412
0.002335721469090121,15,5,3,31.444
0.002335721469090121,31,26,1,53.652
0.002335721469090121,31,11,4,32.27
0.002335721469090121,63,57,1,68.112
0.002335721469090121,63,39,5,63.866
0.002335721469090121,127,120,1,63.358
0.002335721469090121,127,50,6,56.538
0.003792690190732246,7,4,1,33.076
0.003792690190732246,15,11,1,32.246
0.003792690190732246,15,7,2,37.344
0.003792690190732246,15,5,3,31.332
0.003792690190732246,31,26,1,53.912
0.003792690190732246,31,11,4,31.914
0.003792690190732246,63,57,1,67.756
0.003792690190732246,63,39,5,63.77
0.003792690190732246,127,120,1,63.21
0.003792690190732246,127,50,6,56.872
0.00615848211066026,7,4,1,33.074
0.00615848211066026,15,11,1,32.69
0.00615848211066026,15,7,2,37.48
0.00615848211066026,15,5,3,31.368
0.00615848211066026,31,26,1,54.106
0.00615848211066026,31,11,4,32.298
0.00615848211066026,63,57,1,67.572
0.00615848211066026,63,39,5,63.594
0.00615848211066026,127,120,1,63.484
0.00615848211066026,127,50,6,56.614
0.01,7,4,1,33.156
0.01,15,11,1,32.768
0.01,15,7,2,37.464
0.01,15,5,3,31.438
0.01,31,26,1,54.276
0.01,31,11,4,32.116
0.01,63,57,1,67.53
0.01,63,39,5,63.462
0.01,127,120,1,63.238
0.01,127,50,6,56.492
